channel_id,playlist_id,topic,Channel,PublishedAt,avg_views,avg_likes,avg_comments,num_videos,subscribers_counts,category_of_topic,playlist_total_duration
UC1XBh-m27kkgwLAwu_SRJBg,PLGjplNEQ1it8-0CmoljS5yeV-GlKSUEt0,Python,ShradhaKhapra,2024-01-26T13:45:05Z,1816913.0,28562.0,1444.0,9.0,538000,programming_languages,8h 56m 31s
UCeVMnSShP_Iviwkknt83cww,PLu0W_9lII9agwh1XjRt242xIpHhPT2llg,Python,CodeWithHarry,2022-11-28T08:39:03Z,499541.0,12270.0,992.0,100.0,7330000,programming_languages,17h 57m 12s
UC59K-uG2A5ogwIrHw4bmlEg,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,Python,Telusko,2018-06-30T13:24:43Z,813792.0,12910.0,612.0,111.0,2550000,programming_languages,15h 16m 39s
UCM-yUTYGmrNvKOCcAl21g3w,PLdo5W4Nhv31bZSiqiOL5ta39vSnBxpOPT,Python,JennysLecturesCSIT,2022-08-25T09:51:52Z,122589.0,1948.0,117.0,125.0,1860000,programming_languages,35h 26m 31s
UCCezIgC97PvUuR4_gbFUs5g,PL-osiE80TeTt2d9bfVyTiXJA-UTHn6WwU,Python,CoreySchafer,2015-03-23T05:58:13Z,588719.0,12636.0,512.0,151.0,1430000,programming_languages,66h 59m 28s
UC8butISFwT-Wl7EV0hUK0BQ,PLWKjhJtqVAbnqBxcdjVGgT3uVR10bzTEB,Python,freeCodeCamporg,2018-10-31T14:11:15Z,3144583.0,67792.0,1729.0,12.0,10700000,programming_languages,115h 0m 40s
UC0T6MVd3wQDB5ICAe45OxaQ,PLjVLYmrlmjGcQfNj_SLlLV4Ytf39f8BF7,Python,WsCubeTech,2021-06-12T14:09:50Z,101912.0,1586.0,39.0,91.0,3910000,programming_languages,16h 52m 25s
UCwr-evhuzGZgDFrq_1pLt_A,PLvepBxfiuao1hO1vPOskQ1X4dbjGXF9bm,Python,ErrorMakesClever,2023-05-08T05:07:14Z,129539.0,3210.0,128.0,27.0,983000,programming_languages,9h 39m 54s
UC63URkuUvnugRBeTNqmToKg,PLLOxZwkBK52DmuHRO3UNpqAzDF57FtIxk,Python,SundeepSaradhiKanthety,2018-07-22T18:55:55Z,70974.0,1580.0,54.0,75.0,651000,programming_languages,32h 48m 19s
UCJihyK0A38SZ6SdJirEdIOw,PLxCzCOWd7aiEb4apyN1Y8mD-QuUTr3SPQ,Python,GateSmashers,2022-08-26T11:08:53Z,83058.0,1544.0,40.0,88.0,2290000,programming_languages,10h 57m 0s
UCsMica-v34Irf9KVTh6xx-g,PLlrxD0HtieHhS8VzuMCfQD4uJ9yne1mE6,Python,MicrosoftDeveloper,2019-08-05T17:42:57Z,166660.0,1373.0,50.0,44.0,587000,programming_languages,4h 36m 20s
UC9x0AN7BWHpCDHSm9NiJFJQ,PLIhvC56v63ILPDA2DQBv0IKzqsWTZxCkp,Python,NetworkChuck,2021-08-14T17:14:22Z,611672.0,24355.0,1281.0,10.0,4570000,programming_languages,2h 28m 34s
UCtg2VXPjjo0OGZ_2ra-f10Q,PLRvH37iEcMFEivtGxhbgvgioun1o0ZdwQ,Python,DGTech,2022-06-14T11:10:48Z,9035.0,168.0,10.0,23.0,57100,programming_languages,6h 19m 25s
UCpGQisjfG8w-E21cG4ScEOA,PLNMnAEqLBwmpR8JDBOEl0jrzmH1vPnO7v,Python,HabluProgrammer,2023-04-05T10:39:37Z,34552.0,876.0,99.0,91.0,224000,programming_languages,24h 42m 20s
UCSNkfKl4cU-55Nm-ovsvOHQ,PLDoPjvoNmBAyE_gei5d18qkfIe-Z8mocs,Python,ElzeroWebSchool,2020-04-01T20:32:32Z,108716.0,3452.0,87.0,152.0,1640000,programming_languages,20h 24m 59s
UCeVMnSShP_Iviwkknt83cww,PLu0W_9lII9agS67Uits0UnJyrYiXhDS6q,Java,CodeWithHarry,2020-08-30T15:55:04Z,587799.0,19238.0,1233.0,113.0,7330000,programming_languages,28h 42m 27s
UCQYMhOMi_Cdj1CEAU-fv80A,PLBlnK6fEyqRjKA_NuK9mHmlk0dZzuP1P5,Java,NesoAcademy,2019-11-22T18:41:08Z,115723.0,1828.0,50.0,129.0,2870000,programming_languages,13h 32m 11s
UCBwmMxybNva6P_5VmxjzwqA,PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop,Java,ApnaCollege,2021-09-01T15:21:25Z,1759841.0,30237.0,961.0,39.0,6590000,programming_languages,33h 17m 51s
UCBGOUQHNNtNGcGzVq5rIXjw,PL9gnSGHSqcnr_DxHsP7AW9ftq0AtAyYqJ,Java,KunalKushwaha,2021-07-30T12:45:17Z,549277.0,12464.0,744.0,69.0,757000,programming_languages,79h 35m 37s
UCDrf0V4fcBr5FlCtKwvpfwA,PLxgZQoSe9cg00xyG5gzb5BMkOClkch7Gr,Java,CollegeWallah,2022-10-24T11:55:19Z,140911.0,2191.0,184.0,70.0,845000,programming_languages,108h 58m 13s
UC59K-uG2A5ogwIrHw4bmlEg,PLsyeobzWxl7pe_IiTfNyr55kwJPWbgxB5,Java,Telusko,2023-01-16T14:53:39Z,211889.0,2545.0,49.0,106.0,2550000,programming_languages,15h 42m 36s
UC1Bbtdbpfert8leeKx2mssw,PLz8gl4BEGkEGYXNZrIRHJUSoxS_FPBrDy,Java,HYRTutorialsTelugu,2022-01-26T11:37:31Z,124744.0,4437.0,591.0,78.0,124000,programming_languages,53h 18m 5s
UC7uzuZJIYzcxV9JJ1yAtHHg,PL78RhpUUKSweClRi_l05UgfE3053-zkRf,Java,CompleteCodingbyPrashantSir,2023-12-22T13:35:53Z,798080.0,15240.0,2824.0,3.0,220000,programming_languages,35h 30m 27s
UCwr-evhuzGZgDFrq_1pLt_A,PLvepBxfiuao2qCm6QgUay9LUAehVbGlOb,Java,ErrorMakesClever,2024-04-01T10:40:13Z,69116.0,1304.0,75.0,54.0,983000,programming_languages,8h 33m 0s
UCa--uYErOqjm8qT576P1hMQ,PLCInYL3l2AajYlZGzU_LVrHdoouf8W6ZN,Java,AdelNasim,2020-10-20T00:25:52Z,107048.0,1992.0,44.0,77.0,228000,programming_languages,25h 11m 26s
UCJbPGzawDH1njbqV-D5HqKw,PLFE2CE09D83EE3E28,Java,thenewboston,2009-05-16T16:59:11Z,801336.0,5770.0,668.0,87.0,2680000,programming_languages,10h 31m 41s
UCa--uYErOqjm8qT576P1hMQ,PLCInYL3l2AagY7fFlhCrjpLiIFybW3yQv,Java,AdelNasim,2020-12-21T21:57:41Z,78997.0,1484.0,39.0,47.0,228000,programming_languages,16h 39m 2s
UCWX_0VvMxl0_XosvYOZ7O0g,PL1DUmTEdeA6K7rdxKiWJq6JIxTvHalY8f,Java,MohamedElDesouki,2017-09-26T06:06:26Z,221077.0,3240.0,83.0,56.0,438000,programming_languages,18h 10m 29s
UCEXwc6mNh7Lakj6lX-7a2Mg,PLgH5QX0i9K3oAZUB2QXR-dZac0c9HNyRa,Java,AnisulIslam,2017-05-17T19:34:45Z,49345.0,621.0,48.0,341.0,497000,programming_languages,46h 2m 13s
UCzFPWBdClpZ9afmmyhho4Rg,PLacgMXFs7kl8wrP2mPyJgsWVk-FP31qq1,Java,HYRTutorials,2022-01-28T20:23:30Z,126330.0,4493.0,598.0,77.0,68900,programming_languages,52h 51m 23s
UCDrf0V4fcBr5FlCtKwvpfwA,PLxgZQoSe9cg1drBnejUaDD9GEJBGQ5hMt,C,CollegeWallah,2022-12-19T10:08:16Z,1476937.0,20919.0,2479.0,12.0,845000,programming_languages,42h 38m 3s
UCeVMnSShP_Iviwkknt83cww,PLu0W_9lII9aiXlHcLx-mDH1Qul38wD3aR,C,CodeWithHarry,2019-04-20T07:11:58Z,552316.0,16607.0,1282.0,76.0,7330000,programming_languages,21h 27m 10s
UCM-yUTYGmrNvKOCcAl21g3w,PLdo5W4Nhv31a8UcMN9-35ghv8qyFWD9_S,C,JennysLecturesCSIT,2020-12-14T17:15:24Z,292549.0,5555.0,249.0,150.0,1860000,programming_languages,40h 6m 40s
UCQYMhOMi_Cdj1CEAU-fv80A,PLBlnK6fEyqRggZZgYpPMUxdY1CYkZtARR,C,NesoAcademy,2018-06-24T07:19:24Z,296199.0,4988.0,170.0,169.0,2870000,programming_languages,18h 56m 7s
UCHaapYTOjtIvumJxNJWqKeA,PLUaNxYlalMECkeFxDNCOFSRj6SLBf9Oi6,C,GOURAB,2021-07-12T15:44:47Z,455630.0,7386.0,302.0,103.0,104,programming_languages,25h 32m 12s
UC4o8Fdpv3g_AjgShAeivqpA,PLVlQHNRLflP8IGz6OXwlV_lgHgc72aXlh,C,NareshiTechnologies,2016-08-30T03:51:26Z,574949.0,6949.0,237.0,73.0,1320000,programming_languages,16h 55m 21s
UCQYMhOMi_Cdj1CEAU-fv80A,PLBlnK6fEyqRhX6r2uhhlubuF5QextdCSM,C,NesoAcademy,2018-02-19T05:14:24Z,248381.0,4076.0,123.0,314.0,2870000,programming_languages,38h 0m 58s
UCJbPGzawDH1njbqV-D5HqKw,PL6gx4Cwl9DGAKIXv8Yr6nhGJ9Vlcjyymq,C,thenewboston,2014-08-04T15:12:12Z,339898.0,2100.0,172.0,58.0,2680000,programming_languages,6h 32m 12s
UC59K-uG2A5ogwIrHw4bmlEg,PLsyeobzWxl7oBxHp43xQTFrw9f1CDPR6C,C,Telusko,2016-01-26T07:29:56Z,118954.0,1057.0,30.0,41.0,2550000,programming_languages,3h 6m 21s
UC7uzuZJIYzcxV9JJ1yAtHHg,PL78RhpUUKSwcgBrlBtstLjBMEtQmCRbHp,C,CompleteCodingbyPrashantSir,2024-04-03T02:58:01Z,175590.0,4349.0,552.0,3.0,220000,programming_languages,31h 38m 17s
UCxJp9aEteKmOeobEsHXwxAw,PLJ5C_6qdAvBFzL9su5J-FX8x80BMhkPy1,C,ComputerScienceandEngineering,2018-04-17T09:12:58Z,94055.0,625.0,21.0,61.0,128000,programming_languages,30h 39m 45s
UCJihyK0A38SZ6SdJirEdIOw,PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,C,GateSmashers,2019-02-15T09:17:59Z,184150.0,4314.0,92.0,48.0,2290000,programming_languages,6h 52m 16s
UCdUNVXOCR2F8nzpjYGnBn1A,PL724pdDXl9Q3sf8nEH6z1mfeOPnd-h22L,C,ProgrammingGuruJi,2021-07-12T09:19:04Z,61854.0,1540.0,55.0,77.0,93700,programming_languages,10h 58m 34s
UCZ9_mhxSMyVtfPZOkb1PgTA,PL9RcWoqXmzaILAFdvl-Fa6H4B2A4nTuVt,C,EngineerskiPathshalabyUmeshDhande,2022-07-14T13:01:55Z,20357.0,393.0,20.0,60.0,862000,programming_languages,70h 0m 39s
UCvxAt_WebjZ_-pMsxpraROg,PLfVsf4Bjg79CZ5kHTiQHcm-l2q8j06ofd,C,LearningLad,2013-04-23T11:09:46Z,94847.0,1007.0,75.0,205.0,294000,programming_languages,25h 25m 48s
UCeVMnSShP_Iviwkknt83cww,PLu0W_9lII9agpFUAlPFe_VNSlXW5uE0YL,C++,CodeWithHarry,2020-01-11T13:50:44Z,666402.0,18804.0,929.0,74.0,7330000,programming_languages,21h 53m 44s
UCQYMhOMi_Cdj1CEAU-fv80A,PLBlnK6fEyqRh6isJ01MBnbNpV3ZsktSyS,C++,NesoAcademy,2021-05-01T10:19:10Z,84763.0,1449.0,44.0,50.0,2870000,programming_languages,10h 22m 26s
UCM-yUTYGmrNvKOCcAl21g3w,PLdo5W4Nhv31YU5Wx1dopka58teWP9aCee,C++,JennysLecturesCSIT,2022-05-02T11:37:29Z,67071.0,1160.0,87.0,83.0,1860000,programming_languages,25h 44m 55s
UCBwmMxybNva6P_5VmxjzwqA,PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt,C++,ApnaCollege,2024-09-02T15:37:40Z,152199.0,3272.0,374.0,89.0,6590000,programming_languages,50h 0m 25s
UCQ-W1KE9EYfdxhL6S4twUNw,PLlrATfBNZ98dudnM48yfGUldqGD0S4FFb,C++,TheCherno,2017-03-26T08:14:42Z,339171.0,11094.0,376.0,107.0,699000,programming_languages,25h 43m 51s
UCDrf0V4fcBr5FlCtKwvpfwA,PLxgZQoSe9cg0df_GxVjz3DD_Gck5tMXAd,C++,CollegeWallah,2022-10-15T10:30:02Z,160231.0,2912.0,201.0,68.0,845000,programming_languages,85h 44m 38s
UCBwmMxybNva6P_5VmxjzwqA,PLfqMhTWNBTe0b2nM6JHVCnAkhQRGiZMSJ,C++,ApnaCollege,2020-10-08T15:03:37Z,294082.0,5760.0,410.0,245.0,6590000,programming_languages,61h 39m 4s
UC4o8Fdpv3g_AjgShAeivqpA,PLVlQHNRLflP8_DGKcMoRw-TYJJALgGu4J,C++,NareshiTechnologies,2016-08-30T03:51:40Z,116097.0,1529.0,69.0,79.0,1320000,programming_languages,19h 22m 31s
